Fk_Id_Subdireciones;Clave;Nombre
34;GCSO;GERENCIA DE CONTRATOS Y SEGUIMIENTO OPERATIVO
34;GSPB;GERENCIA DE SEGUIMIENTO PRESUPUESTAL B
34;GFOPB;GERENCIA DE FORMULACION Y OPERACION PRESUPUESTAL B
34;GSPC;GERENCIA DE SEGUIMIENTO PRESUPUESTAL C
34;GFOPC;GERENCIA DE FORMULACION Y OPERACION PRESUPUESTAL C
34;GPP;GERENCIA DE PROGRAMACION PRESUPUESTAL
34;GCP;GERENCIA DE CONTROL PRESUPUESTARIO
34;GGP;GERENCIA DE GESTION PRESUPUESTAL
35;GCCT;GERENCIA DE CONTABILIDAD CENTRAL
35;GF;GERENCIA FISCAL
35;GCS;GERENCIA DE CONTABILIDAD PARA SEGMENTOS
35;GCC;GERENCIA DE CONTABILIDAD DE COSTOS
36;GFI;GERENCIA DE FINANCIAMIENTOS E INVERSIONES
36;GPT;GERENCIA DE PROCESOS DE TESORERIA
36;GOT;GERENCIA DE OPERACIONES DE TESORERIA
37;GSF;GERENCIA DE SEGUROS Y FIANZAS
37;GR;GERENCIA DE REASEGURO
37;GAR;GERENCIA DE ADMINISTRACION DE RIESGOS
37;GAEF;GERENCIA DE ANALISIS ECONOMICO FINANCIERO
37;GESI;GERENCIA DE EVALUACION Y SEGUIMIENTO DE INVERSIONES
37;GP;GERENCIA DE PRECIOS
38;GECI;GERENCIA DE EVALUACION Y CONTROL DE INGRESOS
38;GSEF;GERENCIA DE SEGUIMIENTO A EMPRESAS FILIALES
38;GGCF;GERENCIA DE GESTION Y CONTROL FINANCIERO
39;GCSS;GERENCIA DE CONTRATACIONES PARA SERVICIOS DE SOPORTE
39;GACABC;GERENCIA DE ADMINISTRACION Y CONTROL DE ALMACENES DE BIENES DE CONSUMO
39;GACAEET;GERENCIA DE ALIANZAS CONTRACTUALES ABASTECIMIENTO ESTRATEGICO Y ESTANDARES TECNICOS
39;GEVDPC;GERENCIA DE EVALUACION VINCULACION Y DESARROLLO DE PROVEEDORES Y CONTRATISTAS
39;GIC;GERENCIA DE INGENIERIA DE COSTOS
39;GAM;GERENCIA DE ANALISIS DE MERCADO
39;GCMCLM;GERENCIA DE CONTRATACIONES PARA MANTENIMIENTO CONFIABILIDAD Y LOGISTICA MARINA
39;GCEE;GERENCIA DE CONTRATACIONES PARA EXPLORACION Y EXTRACCION
39;GCPI;GERENCIA DE CONTRATACIONES PARA PROCESOS INDUSTRIALES
39;GCTEL;GERENCIA DE CONTRATACIONES PARA TRANSFORMACION ENERGETICA Y LOGISTICA
39;GMPVP;GERENCIA DE MEJORA DEL PROCESO VINCULACION Y PLANEACION
40;GRRLSE;GERENCIA REGIONAL DE RELACIONES LABORALES SURESTE
40;GRRLS;GERENCIA REGIONAL DE RELACIONES LABORALES SUR
40;GRRLA;GERENCIA REGIONAL DE RELACIONES LABORALES ALTIPLANO
40;GRRLN;GERENCIA REGIONAL DE RELACIONES LABORALES NORTE
40;GNPE;GERENCIA DE NOMINA Y PRESTACIONES ECONOMICAS
40;GIMP;GERENCIA DE INGRESOS Y MOVIMIENTOS DE PERSONAL
40;GCDSP;GERENCIA DE CAPACITACION DESEMPEÑO Y SERVICIOS AL PERSO
40;GOEE;GERENCIA DE ORGANIZACION E INTEGRACION DE ESTRUCTURAS
40;GAI;GERENCIA DE ASUNTOS INTERNOS
41;GAM;GERENCIA DE ATENCION MEDICA
41;GPPSP;GERENCIA DE PROGRAMAS Y POLITICAS DE SALUD PUBLICA
41;GASS;GERENCIA DE ADMINISTRACION DE SERVICIOS DE SALUD
42;GSG;GERENCIA DE SERVICIOS GENERALES
42;GAP;GERENCIA DE ADMINISTRACION PATRIMONIAL
42;GOMCN;GERENCIA DE OBRA Y MANTENIMIENTO CENTRO-NORTE
42;GOMSM;GERENCIA DE OBRA Y MANTENIMIENTO SURESTE-MARINA
43;GSMCC;GERENCIA DE SOLUCIONES EMPRESARIALES
43;GDISN;GERENCIA DE DESARROLLO E INTEGRACION DE SOLUCIONES DE NEGOCIO
43;GSTPS;GERENCIA DE SOLUCIONES TECNOLOGICAS PARA PROCESOS SUSTANTIVOS
43;GSD;GERENCIA DE SERVICIOS DIGITALES
43;GSI;GERENCIA DE SEGURIDAD DE LA INFORMACION
43;GSIC;GERENCIA DE SERVICIOS E INFRAESTRUCTURA DE COMUNICACIONES
43;GSOESTIC;GERENCIA DE SOPORTE OPERATIVO Y ENTREGA DE SERVICIOS DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES
43;GIGD;GERENCIA DE INNOVACION Y GOBIERNO DIGITAL
43;GSECN;GERENCIA DE SEGUIMIENTO ESTRATEGICO Y CUMPLIMIENTO NORMATIVO
44;SN1;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 1
45;SN 2;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 2
46;SN 3;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 3
47;SN 4;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 4
48;SN 5;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 5
49;SN 6;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 6
50;GJCEE;GERENCIA JURIDICA DE CONTRATOS DE EXPLORACION Y EXTRACCION
50;GJC;GERENCIA JURIDICA DE CONTRATOS
50;GJACP;GERENCIA JURIDICA DE ASUNTOS CONSULTIVOS Y PATRIMONIALES
50;GJAFM;GERENCIA JURIDICA DE ASUNTOS FINANCIEROS Y MERCANTILES
51;GJCL;GERENCIA JURIDICA DE CUMPLIMIENTO LEGAL
51;GJN;GERENCIA JURIDICA NORMATIVA
51;GJVE;GERENCIA JURIDICA DE VISITADURIA Y ESTADISTICA
51;GSJ;GERENCIA DE SERVICIOS JURIDICOS
52;GJCDP;GERENCIA JURIDICA CONTENCIOSA DE DERECHO PRIVADO
52;GJCA;GERENCIA JURIDICA CONTENCIOSA ADMINISTRATIVA
52;GJCL;GERENCIA JURIDICA CONTENCIOSA LABORAL
52;GJCP;GERENCIA JURIDICA CONTENCIOSA PENAL
52;GJR;GERENCIA JURIDICA REGIONAL
53;GPE;GERENCIA DE PLANEACION ESTRATEGICA
53;GAR;GERENCIA DE ANALISIS REGULATORIO
53;GCO;GERENCIA DE COSTOS OPERATIVOS
54;GASI;GERENCIA DE ADMINISTRACION Y SEGUIMIENTO DE INVERSIONES
54;GPETEE;GERENCIA DE PROYECTOS DESARROLLADOS CON TERCEROS PARA EXPLORACION Y EXTRACCION
54;GAII;GERENCIA DE ANALISIS DE INGENIERIA DE INVERSIONES
54;GPDTPILTE;GERENCIA DE PROYECTOS DESARROLLADOS CON TERCEROS PARA PROCESOS INDUSTRIALES LOGISTICA Y TRANSFORMACION ENERGETICA
55;GPOOI;GERENCIA DE PROGRAMACION DE OPERACIONES Y OPTIMIZACION INTEGRAL
55;GCO;GERENCIA DE COORDINACION OPERATIVA
55;GIII;GERENCIA DE INTEGRACION DE LA INFORMACION INSTITUCIONAL
55;GAED;GERENCIA DE ANALISIS Y EVALUACION DEL DESEMPEÑ
56;GMPI;GERENCIA DE MEJORA DE PROCESOS INSTITUCIONALES
56;GGAECC;GERENCIA DE GESTION AMBIENTAL ENERGETICA Y CAMBIO CLIMATICO
56;GSIST;GERENCIA DE SEGURIDAD INDUSTRIAL Y SALUD EN EL TRABAJO
56;GCOGM;GERENCIA DE CONFIABILIDAD OPERACIONAL Y GESTION DEL MANTENIMIENTO
57;GASCIF;GERENCIA DE APOYO Y SEGUIMIENTO AL CONTROL INTERNO FINANCIERO
57;GASCIEFN;GERENCIA DE APOYO Y SEGUIMIENTO AL CONTROL INTERNO EN EMPRESAS FILIALES Y NORMATIVIDAD
57;GASCIP;GERENCIA DE APOYO Y SEGUIMIENTO AL CONTROL INTERNO EN PEMEX
58;SN 7;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 7
58;SN 8;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 8
58;SN 9;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 9
58;SN 10;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 10
58;SN 11;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 11
58;SN 12;ESTA AREA DEPENDE DIRECTAMENTE DE SU DIRECCION 12
